tick,temperature,white_daisy_num,black_daisy_num,luminosity,population,start_white_%,start_black_%,white_albedo,black_albedo,surface_albedo
0,40.00,0,0,1.00,0,1.00,1.00,1.00,1.00,1.00
1,40.00,0,0,1.00,0,1.00,1.00,1.00,1.00,1.00
